Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
5465524,2021-06-15T10:10:00Z,Strada Urbana,VIA PORTUENSE,all'intersezione semaforizzata con,VIA DI AFFOGALASINO,VIA DI AFFOGALASINO,,,12.414,41.8469
5465125,2021-06-15T10:30:00Z,Strada Urbana,VIA DI PORTA FURBA,da specificare,,,,alt. Via degli Oppii,12.5404,41.8715
5468668,2021-06-15T10:35:00Z,,VIA MERULANA,all'intersezione semaforizzata con,VIALE MANZONI,VIALE MANZONI,,,,
5467263,2021-06-15T11:40:00Z,Strada Urbana,VIA ACHILLE BENEDETTI,all'intersezione con,VIA FILIPPO MEDA,VIA FILIPPO MEDA,,,12.5436,41.9132
5467780,2021-06-15T13:15:00Z,Strada Urbana,VIA ALESSANDRO POERIO,all'intersezione con,VIA ALBERTO MARIO,VIA ALBERTO MARIO,,,12.4631,41.8793
5465502,2021-06-15T13:20:00Z,Strada Urbana,VIA ARENULA,all'intersezione semaforizzata con,VIA DEI FALEGNAMI,VIA DEI FALEGNAMI,,,12.4761,41.894
5466794,2021-06-15T13:30:00Z,Strada Urbana,VIA CASILINA,da specificare,,,,altezza Viale della Primavera,12.5574,41.8758
5466582,2021-06-15T14:30:00Z,Strada Urbana,VIA DI VALLE MURICANA,da specificare,,,,in prossimità Via Livigno,12.4753,42.0149
5466505,2021-06-15T14:40:00Z,Strada Urbana,VIA WALTER TOBAGI,all'intersezione con,VIA DEI RUDERI DI CASA CALDA,VIA DEI RUDERI DI CASA CALDA,,,12.5973,41.8753
5465455,2021-06-15T14:50:00Z,Strada Urbana,VIA DI ACQUAFREDDA,all'intersezione con,VIA RISERVA DELLA TORRETTA,VIA RISERVA DELLA TORRETTA,,,12.3887,41.8871
5465429,2021-06-15T15:00:00Z,Strada Urbana,VIA DELLA VALLE DEI FONTANILI,all'intersezione con,VIA GIUSEPPE GUICCIARDI,VIA GIUSEPPE GUICCIARDI,,,12.4062,41.9267
5466683,2021-06-15T15:00:00Z,Strada Urbana,VIA SFORZA PALLAVICINI,all'intersezione semaforizzata con,VIA CRESCENZIO,VIA CRESCENZIO,,,12.4634,41.9057
5466628,2021-06-15T15:20:00Z,Strada Urbana,VIA VOLTURNO,all'intersezione semaforizzata con,VIA SOLFERINO,VIA SOLFERINO,,,12.5009,41.9035
5466509,2021-06-15T15:45:00Z,Strada Urbana,VIA CASILINA,all'intersezione con,VIA VIZZINI,VIA VIZZINI,,,12.6819,41.8628
5466670,2021-06-15T15:50:00Z,Strada Urbana,VIA DUCCIO GALIMBERTI,all'intersezione con,VIA DELLA BALDUINA,VIA DELLA BALDUINA,,,12.4427,41.9136
5466562,2021-06-15T16:40:00Z,Strada Urbana,VIA PORTUENSE,all'intersezione semaforizzata con,VIA GUGLIELMO MENGARINI,VIA GUGLIELMO MENGARINI,,,12.414,41.8469
5466519,2021-06-15T17:00:00Z,Strada Urbana,VIA DI TORRE SPACCATA,da specificare,,,,prox intersezione con Via Casilina,12.5858,41.8586
5466501,2021-06-15T17:20:00Z,Strada Urbana,VIA EMILIO GALLORI,all'intersezione con,VIA DI GIARDINETTI,VIA DI GIARDINETTI,,,12.6029,41.8596
5465944,2021-06-15T17:45:00Z,Strada Urbana,PIAZZA GUIDO PIOVENE,all'intersezione con,VIALE CARLO LEVI,VIALE CARLO LEVI,,,12.4656,41.8124
5466801,2021-06-15T17:50:00Z,Strada Urbana,PONTE DEL RISORGIMENTO,all'intersezione con,PIAZZA MONTE GRAPPA,PIAZZA MONTE GRAPPA,,,12.4708,41.9187
5466768,2021-06-15T18:05:00Z,Strada Urbana,VIALE GIOACCHINO ROSSINI,all'intersezione con,VIA SAVERIO MERCADANTE,VIA SAVERIO MERCADANTE,,,12.4917,41.9207
5467125,2021-06-15T18:45:00Z,Strada Urbana,VIA CESARE BALBO,all'intersezione con,VIA PANISPERNA,VIA PANISPERNA,,,12.4936,41.8969
